dataset	lang	model	measure1	measure2	corr
wiki	de	bm25	p.10	ndcg	0.9958246164193105
wiki	de	bm25	p.10	bleu.lower	0.7615129419677079
wiki	de	bm25	p.10	bleu.lower.stem	0.7615129419677079
wiki	de	bm25	p.10	bleu.lower.depunc	0.773109243697479
wiki	de	bm25	p.10	bleu.lower.stem.depunc	0.773109243697479
wiki	de	bm25	p.10	prec1.lower	0.7113032974423646
wiki	de	bm25	p.10	prec1.lower.stem	0.7113032974423646
wiki	de	bm25	p.10	prec1.lower.depunc	0.7394957983193278
wiki	de	bm25	p.10	prec1.lower.stem.depunc	0.7394957983193278
wiki	de	bm25	p.10	prec2.lower	0.728039845617479
wiki	de	bm25	p.10	prec2.lower.stem	0.7510615380804446
wiki	de	bm25	p.10	prec2.lower.depunc	0.7394957983193278
wiki	de	bm25	p.10	prec2.lower.stem.depunc	0.7627392542713822
wiki	de	bm25	p.10	prec3.lower	0.7394957983193278
wiki	de	bm25	p.10	prec3.lower.stem	0.7563025210084034
wiki	de	bm25	p.10	prec3.lower.depunc	0.773109243697479
wiki	de	bm25	p.10	prec3.lower.stem.depunc	0.7782494901428224
wiki	de	bm25	p.10	prec4.lower	0.7341837507078502
wiki	de	bm25	p.10	prec4.lower.stem	0.7615129419677079
wiki	de	bm25	p.10	prec4.lower.depunc	0.7679393254530388
wiki	de	bm25	p.10	prec4.lower.stem.depunc	0.773109243697479
wiki	de	bm25	r.10	size	0.8280786712108251
wiki	de	bm25	r.10	bpe.tokens	-0.27386127875258304
wiki	de	bm25	r.10	map	1.0
wiki	de	bm25	r.10	map.gm	0.9166666666666666
wiki	de	bm25	r.10	p.5	1.0
wiki	de	bm25	r.10	p.10	0.9958246164193105
wiki	de	bm25	r.10	rbo	0.9666666666666667
wiki	de	bm25	r.10	ndcg	1.0
wiki	de	bm25	r.10	bleu.lower	0.75
wiki	de	bm25	r.10	bleu.lower.stem	0.75
wiki	de	bm25	r.10	bleu.lower.depunc	0.7615129419677079
wiki	de	bm25	r.10	bleu.lower.stem.depunc	0.7615129419677079
wiki	de	bm25	r.10	prec1.lower	0.7
wiki	de	bm25	r.10	prec1.lower.stem	0.7
wiki	de	bm25	r.10	prec1.lower.depunc	0.728039845617479
wiki	de	bm25	r.10	prec1.lower.stem.depunc	0.728039845617479
wiki	de	bm25	r.10	prec2.lower	0.7166666666666667
wiki	de	bm25	r.10	prec2.lower.stem	0.7395219099980958
wiki	de	bm25	r.10	prec2.lower.depunc	0.728039845617479
wiki	de	bm25	r.10	prec2.lower.stem.depunc	0.7511150305870526
wiki	de	bm25	r.10	prec3.lower	0.728039845617479
wiki	de	bm25	r.10	prec3.lower.stem	0.7447763937925935
wiki	de	bm25	r.10	prec3.lower.depunc	0.7615129419677079
wiki	de	bm25	r.10	prec3.lower.stem.depunc	0.7666666666666667
wiki	de	bm25	r.10	prec4.lower	0.7227145938617754
wiki	de	bm25	r.10	prec4.lower.stem	0.75
wiki	de	bm25	r.10	prec4.lower.depunc	0.7563292261344161
wiki	de	bm25	r.10	prec4.lower.stem.depunc	0.7615129419677079
wiki	de	bm25	rbo	size	0.8280786712108251
wiki	de	bm25	rbo	bpe.tokens	-0.27386127875258304
wiki	de	bm25	rbo	map	0.9666666666666667
wiki	de	bm25	rbo	map.gm	0.9166666666666666
wiki	de	bm25	rbo	p.5	0.9666666666666667
wiki	de	bm25	rbo	p.10	0.9790880682441959
wiki	de	bm25	rbo	r.10	0.9666666666666667
wiki	de	bm25	rbo	ndcg	0.9666666666666667
wiki	de	bm25	rbo	bleu.lower	0.75
wiki	de	bm25	rbo	bleu.lower.stem	0.75
wiki	de	bm25	rbo	bleu.lower.depunc	0.7615129419677079
wiki	de	bm25	rbo	bleu.lower.stem.depunc	0.7615129419677079
wiki	de	bm25	rbo	prec1.lower	0.7
wiki	de	bm25	rbo	prec1.lower.stem	0.7
wiki	de	bm25	rbo	prec1.lower.depunc	0.728039845617479
wiki	de	bm25	rbo	prec1.lower.stem.depunc	0.728039845617479
wiki	de	bm25	rbo	prec2.lower	0.7166666666666667
wiki	de	bm25	rbo	prec2.lower.stem	0.7395219099980958
wiki	de	bm25	rbo	prec2.lower.depunc	0.728039845617479
wiki	de	bm25	rbo	prec2.lower.stem.depunc	0.7511150305870526
wiki	de	bm25	rbo	prec3.lower	0.728039845617479
wiki	de	bm25	rbo	prec3.lower.stem	0.7447763937925935
wiki	de	bm25	rbo	prec3.lower.depunc	0.7615129419677079
wiki	de	bm25	rbo	prec3.lower.stem.depunc	0.7666666666666667
wiki	de	bm25	rbo	prec4.lower	0.7227145938617754
wiki	de	bm25	rbo	prec4.lower.stem	0.75
wiki	de	bm25	rbo	prec4.lower.depunc	0.7563292261344161
wiki	de	bm25	rbo	prec4.lower.stem.depunc	0.7615129419677079
wiki	de	bm25	ndcg	size	0.8280786712108251
wiki	de	bm25	ndcg	bpe.tokens	-0.27386127875258304
wiki	de	bm25	ndcg	map	1.0
wiki	de	bm25	ndcg	map.gm	0.9166666666666666
wiki	de	bm25	ndcg	p.5	1.0
wiki	de	bm25	ndcg	p.10	0.9958246164193105
wiki	de	bm25	ndcg	r.10	1.0
wiki	de	bm25	ndcg	rbo	0.9666666666666667
wiki	de	bm25	ndcg	bleu.lower	0.75
wiki	de	bm25	ndcg	bleu.lower.stem	0.75
wiki	de	bm25	ndcg	bleu.lower.depunc	0.7615129419677079
wiki	de	bm25	ndcg	bleu.lower.stem.depunc	0.7615129419677079
wiki	de	bm25	ndcg	prec1.lower	0.7
wiki	de	bm25	ndcg	prec1.lower.stem	0.7
wiki	de	bm25	ndcg	prec1.lower.depunc	0.728039845617479
wiki	de	bm25	ndcg	prec1.lower.stem.depunc	0.728039845617479
wiki	de	bm25	ndcg	prec2.lower	0.7166666666666667
wiki	de	bm25	ndcg	prec2.lower.stem	0.7395219099980958
wiki	de	bm25	ndcg	prec2.lower.depunc	0.728039845617479
wiki	de	bm25	ndcg	prec2.lower.stem.depunc	0.7511150305870526
wiki	de	bm25	ndcg	prec3.lower	0.728039845617479
wiki	de	bm25	ndcg	prec3.lower.stem	0.7447763937925935
wiki	de	bm25	ndcg	prec3.lower.depunc	0.7615129419677079
wiki	de	bm25	ndcg	prec3.lower.stem.depunc	0.7666666666666667
wiki	de	bm25	ndcg	prec4.lower	0.7227145938617754
wiki	de	bm25	ndcg	prec4.lower.stem	0.75
wiki	de	bm25	ndcg	prec4.lower.depunc	0.7563292261344161
wiki	de	bm25	ndcg	prec4.lower.stem.depunc	0.7615129419677079
wiki	de	bm25	bleu.lower	size	0.9315885051121781
wiki	de	bm25	bleu.lower	bpe.tokens	0.04564354645876384
wiki	de	bm25	bleu.lower	map	0.75
wiki	de	bm25	bleu.lower	map.gm	0.8333333333333333
wiki	de	bm25	bleu.lower	p.5	0.75
wiki	de	bm25	bleu.lower	p.10	0.7615129419677079
wiki	de	bm25	bleu.lower	r.10	0.75
wiki	de	bm25	bleu.lower	rbo	0.75
wiki	de	bm25	bleu.lower	ndcg	0.75
wiki	de	bm25	bleu.lower	bleu.lower.stem	1.0
wiki	de	bm25	bleu.lower	bleu.lower.depunc	0.9958246164193105
wiki	de	bm25	bleu.lower	bleu.lower.stem.depunc	0.9958246164193105
wiki	de	bm25	bleu.lower	prec1.lower	0.9500000000000001
wiki	de	bm25	bleu.lower	prec1.lower.stem	0.9500000000000001
wiki	de	bm25	bleu.lower	prec1.lower.depunc	0.9623515200690815
wiki	de	bm25	bleu.lower	prec1.lower.stem.depunc	0.9623515200690815
wiki	de	bm25	bleu.lower	prec2.lower	0.9666666666666667
wiki	de	bm25	bleu.lower	prec2.lower.stem	0.991631652042901
wiki	de	bm25	bleu.lower	prec2.lower.depunc	0.9623515200690815
wiki	de	bm25	bleu.lower	prec2.lower.stem.depunc	0.9874208829065748
wiki	de	bm25	bleu.lower	prec3.lower	0.9790880682441959
wiki	de	bm25	bleu.lower	prec3.lower.stem	0.9958246164193105
wiki	de	bm25	bleu.lower	prec3.lower.depunc	0.9790880682441959
wiki	de	bm25	bleu.lower	prec3.lower.stem.depunc	0.9833333333333333
wiki	de	bm25	bleu.lower	prec4.lower	0.9748243359065808
wiki	de	bm25	bleu.lower	prec4.lower.stem	1.0
wiki	de	bm25	bleu.lower	prec4.lower.depunc	0.991631652042901
wiki	de	bm25	bleu.lower	prec4.lower.stem.depunc	0.9958246164193105
wiki	de	bm25	bleu.lower.stem	size	0.9315885051121781
wiki	de	bm25	bleu.lower.stem	bpe.tokens	0.04564354645876384
wiki	de	bm25	bleu.lower.stem	map	0.75
wiki	de	bm25	bleu.lower.stem	map.gm	0.8333333333333333
wiki	de	bm25	bleu.lower.stem	p.5	0.75
wiki	de	bm25	bleu.lower.stem	p.10	0.7615129419677079
wiki	de	bm25	bleu.lower.stem	r.10	0.75
wiki	de	bm25	bleu.lower.stem	rbo	0.75
wiki	de	bm25	bleu.lower.stem	ndcg	0.75
wiki	de	bm25	bleu.lower.stem	bleu.lower	1.0
wiki	de	bm25	bleu.lower.stem	bleu.lower.depunc	0.9958246164193105
wiki	de	bm25	bleu.lower.stem	bleu.lower.stem.depunc	0.9958246164193105
wiki	de	bm25	bleu.lower.stem	prec1.lower	0.9500000000000001
wiki	de	bm25	bleu.lower.stem	prec1.lower.stem	0.9500000000000001
wiki	de	bm25	bleu.lower.stem	prec1.lower.depunc	0.9623515200690815
wiki	de	bm25	bleu.lower.stem	prec1.lower.stem.depunc	0.9623515200690815
wiki	de	bm25	bleu.lower.stem	prec2.lower	0.9666666666666667
wiki	de	bm25	bleu.lower.stem	prec2.lower.stem	0.991631652042901
wiki	de	bm25	bleu.lower.stem	prec2.lower.depunc	0.9623515200690815
wiki	de	bm25	bleu.lower.stem	prec2.lower.stem.depunc	0.9874208829065748
wiki	de	bm25	bleu.lower.stem	prec3.lower	0.9790880682441959
wiki	de	bm25	bleu.lower.stem	prec3.lower.stem	0.9958246164193105
wiki	de	bm25	bleu.lower.stem	prec3.lower.depunc	0.9790880682441959
wiki	de	bm25	bleu.lower.stem	prec3.lower.stem.depunc	0.9833333333333333
wiki	de	bm25	bleu.lower.stem	prec4.lower	0.9748243359065808
wiki	de	bm25	bleu.lower.stem	prec4.lower.stem	1.0
wiki	de	bm25	bleu.lower.stem	prec4.lower.depunc	0.991631652042901
wiki	de	bm25	bleu.lower.stem	prec4.lower.stem.depunc	0.9958246164193105
wiki	de	bm25	bleu.lower.depunc	size	0.9441565403200105
wiki	de	bm25	bleu.lower.depunc	bpe.tokens	0.045834924851410566
wiki	de	bm25	bleu.lower.depunc	map	0.7615129419677079
wiki	de	bm25	bleu.lower.depunc	map.gm	0.8451956828432803
wiki	de	bm25	bleu.lower.depunc	p.5	0.7615129419677079
wiki	de	bm25	bleu.lower.depunc	p.10	0.773109243697479
wiki	de	bm25	bleu.lower.depunc	r.10	0.7615129419677079
wiki	de	bm25	bleu.lower.depunc	rbo	0.7615129419677079
wiki	de	bm25	bleu.lower.depunc	ndcg	0.7615129419677079
wiki	de	bm25	bleu.lower.depunc	bleu.lower	0.9958246164193105
wiki	de	bm25	bleu.lower.depunc	bleu.lower.stem	0.9958246164193105
wiki	de	bm25	bleu.lower.depunc	bleu.lower.stem.depunc	1.0
wiki	de	bm25	bleu.lower.depunc	prec1.lower	0.9456149718939671
wiki	de	bm25	bleu.lower.depunc	prec1.lower.stem	0.9456149718939671
wiki	de	bm25	bleu.lower.depunc	prec1.lower.depunc	0.9663865546218487
wiki	de	bm25	bleu.lower.depunc	prec1.lower.stem.depunc	0.9663865546218487
wiki	de	bm25	bleu.lower.depunc	prec2.lower	0.9623515200690814
wiki	de	bm25	bleu.lower.depunc	prec2.lower.stem	0.9873505612967642
wiki	de	bm25	bleu.lower.depunc	prec2.lower.depunc	0.9663865546218487
wiki	de	bm25	bleu.lower.depunc	prec2.lower.stem.depunc	0.9915610305527968
wiki	de	bm25	bleu.lower.depunc	prec3.lower	0.9747899159663866
wiki	de	bm25	bleu.lower.depunc	prec3.lower.stem	0.9915966386554623
wiki	de	bm25	bleu.lower.depunc	prec3.lower.depunc	0.9915966386554623
wiki	de	bm25	bleu.lower.depunc	prec3.lower.stem.depunc	0.9958246164193105
wiki	de	bm25	bleu.lower.depunc	prec4.lower	0.9704727739241699
wiki	de	bm25	bleu.lower.depunc	prec4.lower.stem	0.9958246164193105
wiki	de	bm25	bleu.lower.depunc	prec4.lower.depunc	0.9957894549830614
wiki	de	bm25	bleu.lower.depunc	prec4.lower.stem.depunc	1.0
wiki	de	bm25	bleu.lower.stem.depunc	size	0.9441565403200105
wiki	de	bm25	bleu.lower.stem.depunc	bpe.tokens	0.045834924851410566
wiki	de	bm25	bleu.lower.stem.depunc	map	0.7615129419677079
wiki	de	bm25	bleu.lower.stem.depunc	map.gm	0.8451956828432803
wiki	de	bm25	bleu.lower.stem.depunc	p.5	0.7615129419677079
wiki	de	bm25	bleu.lower.stem.depunc	p.10	0.773109243697479
wiki	de	bm25	bleu.lower.stem.depunc	r.10	0.7615129419677079
wiki	de	bm25	bleu.lower.stem.depunc	rbo	0.7615129419677079
wiki	de	bm25	bleu.lower.stem.depunc	ndcg	0.7615129419677079
wiki	de	bm25	bleu.lower.stem.depunc	bleu.lower	0.9958246164193105
wiki	de	bm25	bleu.lower.stem.depunc	bleu.lower.stem	0.9958246164193105
wiki	de	bm25	bleu.lower.stem.depunc	bleu.lower.depunc	1.0
wiki	de	bm25	bleu.lower.stem.depunc	prec1.lower	0.9456149718939671
wiki	de	bm25	bleu.lower.stem.depunc	prec1.lower.stem	0.9456149718939671
wiki	de	bm25	bleu.lower.stem.depunc	prec1.lower.depunc	0.9663865546218487
wiki	de	bm25	bleu.lower.stem.depunc	prec1.lower.stem.depunc	0.9663865546218487
wiki	de	bm25	bleu.lower.stem.depunc	prec2.lower	0.9623515200690814
wiki	de	bm25	bleu.lower.stem.depunc	prec2.lower.stem	0.9873505612967642
wiki	de	bm25	bleu.lower.stem.depunc	prec2.lower.depunc	0.9663865546218487
wiki	de	bm25	bleu.lower.stem.depunc	prec2.lower.stem.depunc	0.9915610305527968
wiki	de	bm25	bleu.lower.stem.depunc	prec3.lower	0.9747899159663866
wiki	de	bm25	bleu.lower.stem.depunc	prec3.lower.stem	0.9915966386554623
wiki	de	bm25	bleu.lower.stem.depunc	prec3.lower.depunc	0.9915966386554623
wiki	de	bm25	bleu.lower.stem.depunc	prec3.lower.stem.depunc	0.9958246164193105
wiki	de	bm25	bleu.lower.stem.depunc	prec4.lower	0.9704727739241699
wiki	de	bm25	bleu.lower.stem.depunc	prec4.lower.stem	0.9958246164193105
wiki	de	bm25	bleu.lower.stem.depunc	prec4.lower.depunc	0.9957894549830614
wiki	de	bm25	bleu.lower.stem.depunc	prec4.lower.stem.depunc	1.0
wiki	de	bm25	prec1.lower	size	0.8970852271450604
wiki	de	bm25	prec1.lower	bpe.tokens	0.09128709291752768
wiki	de	bm25	prec1.lower	map	0.7
wiki	de	bm25	prec1.lower	map.gm	0.7833333333333333
wiki	de	bm25	prec1.lower	p.5	0.7
wiki	de	bm25	prec1.lower	p.10	0.7113032974423646
wiki	de	bm25	prec1.lower	r.10	0.7
wiki	de	bm25	prec1.lower	rbo	0.7
wiki	de	bm25	prec1.lower	ndcg	0.7
wiki	de	bm25	prec1.lower	bleu.lower	0.9500000000000001
wiki	de	bm25	prec1.lower	bleu.lower.stem	0.9500000000000001
wiki	de	bm25	prec1.lower	bleu.lower.depunc	0.9456149718939671
wiki	de	bm25	prec1.lower	bleu.lower.stem.depunc	0.9456149718939671
wiki	de	bm25	prec1.lower	prec1.lower.stem	1.0
wiki	de	bm25	prec1.lower	prec1.lower.depunc	0.9790880682441959
wiki	de	bm25	prec1.lower	prec1.lower.stem.depunc	0.9790880682441959
wiki	de	bm25	prec1.lower	prec2.lower	0.9833333333333333
wiki	de	bm25	prec1.lower	prec2.lower.stem	0.9748243359065808
wiki	de	bm25	prec1.lower	prec2.lower.depunc	0.9790880682441959
wiki	de	bm25	prec1.lower	prec2.lower.stem.depunc	0.9705418934551804
wiki	de	bm25	prec1.lower	prec3.lower	0.9790880682441959
wiki	de	bm25	prec1.lower	prec3.lower.stem	0.9623515200690815
wiki	de	bm25	prec1.lower	prec3.lower.depunc	0.9456149718939671
wiki	de	bm25	prec1.lower	prec3.lower.stem.depunc	0.9333333333333332
wiki	de	bm25	prec1.lower	prec4.lower	0.9748243359065808
wiki	de	bm25	prec1.lower	prec4.lower.stem	0.9500000000000001
wiki	de	bm25	prec1.lower	prec4.lower.depunc	0.94120970363394
wiki	de	bm25	prec1.lower	prec4.lower.stem.depunc	0.9456149718939671
wiki	de	bm25	prec1.lower.stem	size	0.8970852271450604
wiki	de	bm25	prec1.lower.stem	bpe.tokens	0.09128709291752768
wiki	de	bm25	prec1.lower.stem	map	0.7
wiki	de	bm25	prec1.lower.stem	map.gm	0.7833333333333333
wiki	de	bm25	prec1.lower.stem	p.5	0.7
wiki	de	bm25	prec1.lower.stem	p.10	0.7113032974423646
wiki	de	bm25	prec1.lower.stem	r.10	0.7
wiki	de	bm25	prec1.lower.stem	rbo	0.7
wiki	de	bm25	prec1.lower.stem	ndcg	0.7
wiki	de	bm25	prec1.lower.stem	bleu.lower	0.9500000000000001
wiki	de	bm25	prec1.lower.stem	bleu.lower.stem	0.9500000000000001
wiki	de	bm25	prec1.lower.stem	bleu.lower.depunc	0.9456149718939671
wiki	de	bm25	prec1.lower.stem	bleu.lower.stem.depunc	0.9456149718939671
wiki	de	bm25	prec1.lower.stem	prec1.lower	1.0
wiki	de	bm25	prec1.lower.stem	prec1.lower.depunc	0.9790880682441959
wiki	de	bm25	prec1.lower.stem	prec1.lower.stem.depunc	0.9790880682441959
wiki	de	bm25	prec1.lower.stem	prec2.lower	0.9833333333333333
wiki	de	bm25	prec1.lower.stem	prec2.lower.stem	0.9748243359065808
wiki	de	bm25	prec1.lower.stem	prec2.lower.depunc	0.9790880682441959
wiki	de	bm25	prec1.lower.stem	prec2.lower.stem.depunc	0.9705418934551804
wiki	de	bm25	prec1.lower.stem	prec3.lower	0.9790880682441959
wiki	de	bm25	prec1.lower.stem	prec3.lower.stem	0.9623515200690815
wiki	de	bm25	prec1.lower.stem	prec3.lower.depunc	0.9456149718939671
wiki	de	bm25	prec1.lower.stem	prec3.lower.stem.depunc	0.9333333333333332
wiki	de	bm25	prec1.lower.stem	prec4.lower	0.9748243359065808
wiki	de	bm25	prec1.lower.stem	prec4.lower.stem	0.9500000000000001
wiki	de	bm25	prec1.lower.stem	prec4.lower.depunc	0.94120970363394
wiki	de	bm25	prec1.lower.stem	prec4.lower.stem.depunc	0.9456149718939671
wiki	de	bm25	prec1.lower.depunc	size	0.9268325671031296
wiki	de	bm25	prec1.lower.depunc	bpe.tokens	0.09166984970282113
wiki	de	bm25	prec1.lower.depunc	map	0.728039845617479
wiki	de	bm25	prec1.lower.depunc	map.gm	0.8117225864930513
wiki	de	bm25	prec1.lower.depunc	p.5	0.728039845617479
wiki	de	bm25	prec1.lower.depunc	p.10	0.7394957983193278
wiki	de	bm25	prec1.lower.depunc	r.10	0.728039845617479
wiki	de	bm25	prec1.lower.depunc	rbo	0.728039845617479
wiki	de	bm25	prec1.lower.depunc	ndcg	0.728039845617479
wiki	de	bm25	prec1.lower.depunc	bleu.lower	0.9623515200690815
wiki	de	bm25	prec1.lower.depunc	bleu.lower.stem	0.9623515200690815
wiki	de	bm25	prec1.lower.depunc	bleu.lower.depunc	0.9663865546218487
wiki	de	bm25	prec1.lower.depunc	bleu.lower.stem.depunc	0.9663865546218487
wiki	de	bm25	prec1.lower.depunc	prec1.lower	0.9790880682441959
wiki	de	bm25	prec1.lower.depunc	prec1.lower.stem	0.9790880682441959
wiki	de	bm25	prec1.lower.depunc	prec1.lower.stem.depunc	1.0
wiki	de	bm25	prec1.lower.depunc	prec2.lower	0.9623515200690814
wiki	de	bm25	prec1.lower.depunc	prec2.lower.stem	0.9704727739241699
wiki	de	bm25	prec1.lower.depunc	prec2.lower.depunc	1.0
wiki	de	bm25	prec1.lower.depunc	prec2.lower.stem.depunc	0.9915610305527968
wiki	de	bm25	prec1.lower.depunc	prec3.lower	0.9579831932773111
wiki	de	bm25	prec1.lower.depunc	prec3.lower.stem	0.9579831932773111
wiki	de	bm25	prec1.lower.depunc	prec3.lower.depunc	0.9747899159663866
wiki	de	bm25	prec1.lower.depunc	prec3.lower.stem.depunc	0.9623515200690814
wiki	de	bm25	prec1.lower.depunc	prec4.lower	0.9535949865515757
wiki	de	bm25	prec1.lower.depunc	prec4.lower.stem	0.9623515200690814
wiki	de	bm25	prec1.lower.depunc	prec4.lower.depunc	0.9620338802378728
wiki	de	bm25	prec1.lower.depunc	prec4.lower.stem.depunc	0.9663865546218487
wiki	de	bm25	prec1.lower.stem.depunc	size	0.9268325671031296
wiki	de	bm25	prec1.lower.stem.depunc	bpe.tokens	0.09166984970282113
wiki	de	bm25	prec1.lower.stem.depunc	map	0.728039845617479
wiki	de	bm25	prec1.lower.stem.depunc	map.gm	0.8117225864930513
wiki	de	bm25	prec1.lower.stem.depunc	p.5	0.728039845617479
wiki	de	bm25	prec1.lower.stem.depunc	p.10	0.7394957983193278
wiki	de	bm25	prec1.lower.stem.depunc	r.10	0.728039845617479
wiki	de	bm25	prec1.lower.stem.depunc	rbo	0.728039845617479
wiki	de	bm25	prec1.lower.stem.depunc	ndcg	0.728039845617479
wiki	de	bm25	prec1.lower.stem.depunc	bleu.lower	0.9623515200690815
wiki	de	bm25	prec1.lower.stem.depunc	bleu.lower.stem	0.9623515200690815
wiki	de	bm25	prec1.lower.stem.depunc	bleu.lower.depunc	0.9663865546218487
wiki	de	bm25	prec1.lower.stem.depunc	bleu.lower.stem.depunc	0.9663865546218487
wiki	de	bm25	prec1.lower.stem.depunc	prec1.lower	0.9790880682441959
wiki	de	bm25	prec1.lower.stem.depunc	prec1.lower.stem	0.9790880682441959
wiki	de	bm25	prec1.lower.stem.depunc	prec1.lower.depunc	1.0
wiki	de	bm25	prec1.lower.stem.depunc	prec2.lower	0.9623515200690814
wiki	de	bm25	prec1.lower.stem.depunc	prec2.lower.stem	0.9704727739241699
wiki	de	bm25	prec1.lower.stem.depunc	prec2.lower.depunc	1.0
wiki	de	bm25	prec1.lower.stem.depunc	prec2.lower.stem.depunc	0.9915610305527968
wiki	de	bm25	prec1.lower.stem.depunc	prec3.lower	0.9579831932773111
wiki	de	bm25	prec1.lower.stem.depunc	prec3.lower.stem	0.9579831932773111
wiki	de	bm25	prec1.lower.stem.depunc	prec3.lower.depunc	0.9747899159663866
wiki	de	bm25	prec1.lower.stem.depunc	prec3.lower.stem.depunc	0.9623515200690814
wiki	de	bm25	prec1.lower.stem.depunc	prec4.lower	0.9535949865515757
wiki	de	bm25	prec1.lower.stem.depunc	prec4.lower.stem	0.9623515200690814
wiki	de	bm25	prec1.lower.stem.depunc	prec4.lower.depunc	0.9620338802378728
wiki	de	bm25	prec1.lower.stem.depunc	prec4.lower.stem.depunc	0.9663865546218487
wiki	de	bm25	prec2.lower	size	0.8970852271450604
wiki	de	bm25	prec2.lower	bpe.tokens	0.06846531968814576
wiki	de	bm25	prec2.lower	map	0.7166666666666667
wiki	de	bm25	prec2.lower	map.gm	0.7999999999999999
wiki	de	bm25	prec2.lower	p.5	0.7166666666666667
wiki	de	bm25	prec2.lower	p.10	0.728039845617479
wiki	de	bm25	prec2.lower	r.10	0.7166666666666667
wiki	de	bm25	prec2.lower	rbo	0.7166666666666667
wiki	de	bm25	prec2.lower	ndcg	0.7166666666666667
wiki	de	bm25	prec2.lower	bleu.lower	0.9666666666666667
wiki	de	bm25	prec2.lower	bleu.lower.stem	0.9666666666666667
wiki	de	bm25	prec2.lower	bleu.lower.depunc	0.9623515200690814
wiki	de	bm25	prec2.lower	bleu.lower.stem.depunc	0.9623515200690814
wiki	de	bm25	prec2.lower	prec1.lower	0.9833333333333333
wiki	de	bm25	prec2.lower	prec1.lower.stem	0.9833333333333333
wiki	de	bm25	prec2.lower	prec1.lower.depunc	0.9623515200690814
wiki	de	bm25	prec2.lower	prec1.lower.stem.depunc	0.9623515200690814
wiki	de	bm25	prec2.lower	prec2.lower.stem	0.991631652042901
wiki	de	bm25	prec2.lower	prec2.lower.depunc	0.9623515200690815
wiki	de	bm25	prec2.lower	prec2.lower.stem.depunc	0.9705418934551804
wiki	de	bm25	prec2.lower	prec3.lower	0.9958246164193105
wiki	de	bm25	prec2.lower	prec3.lower.stem	0.9790880682441959
wiki	de	bm25	prec2.lower	prec3.lower.depunc	0.9456149718939671
wiki	de	bm25	prec2.lower	prec3.lower.stem.depunc	0.9500000000000001
wiki	de	bm25	prec2.lower	prec4.lower	0.991631652042901
wiki	de	bm25	prec2.lower	prec4.lower.stem	0.9666666666666667
wiki	de	bm25	prec2.lower	prec4.lower.depunc	0.9580170197702604
wiki	de	bm25	prec2.lower	prec4.lower.stem.depunc	0.9623515200690815
wiki	de	bm25	prec2.lower.stem	size	0.9220529258469679
wiki	de	bm25	prec2.lower.stem	bpe.tokens	0.05753591361864521
wiki	de	bm25	prec2.lower.stem	map	0.7395219099980958
wiki	de	bm25	prec2.lower.stem	map.gm	0.8235584906796976
wiki	de	bm25	prec2.lower.stem	p.5	0.7395219099980958
wiki	de	bm25	prec2.lower.stem	p.10	0.7510615380804446
wiki	de	bm25	prec2.lower.stem	r.10	0.7395219099980958
wiki	de	bm25	prec2.lower.stem	rbo	0.7395219099980958
wiki	de	bm25	prec2.lower.stem	ndcg	0.7395219099980958
wiki	de	bm25	prec2.lower.stem	bleu.lower	0.991631652042901
wiki	de	bm25	prec2.lower.stem	bleu.lower.stem	0.991631652042901
wiki	de	bm25	prec2.lower.stem	bleu.lower.depunc	0.9873505612967642
wiki	de	bm25	prec2.lower.stem	bleu.lower.stem.depunc	0.9873505612967642
wiki	de	bm25	prec2.lower.stem	prec1.lower	0.9748243359065808
wiki	de	bm25	prec2.lower.stem	prec1.lower.stem	0.9748243359065808
wiki	de	bm25	prec2.lower.stem	prec1.lower.depunc	0.9704727739241699
wiki	de	bm25	prec2.lower.stem	prec1.lower.stem.depunc	0.9704727739241699
wiki	de	bm25	prec2.lower.stem	prec2.lower	0.991631652042901
wiki	de	bm25	prec2.lower.stem	prec2.lower.depunc	0.9704727739241699
wiki	de	bm25	prec2.lower.stem	prec2.lower.stem.depunc	0.9872429809637863
wiki	de	bm25	prec2.lower.stem	prec3.lower	0.9957894549830613
wiki	de	bm25	prec2.lower.stem	prec3.lower.stem	0.9957894549830613
wiki	de	bm25	prec2.lower.stem	prec3.lower.depunc	0.9704727739241699
wiki	de	bm25	prec2.lower.stem	prec3.lower.stem.depunc	0.9748243359065808
wiki	de	bm25	prec2.lower.stem	prec4.lower	0.9915254237288136
wiki	de	bm25	prec2.lower.stem	prec4.lower.stem	0.991631652042901
wiki	de	bm25	prec2.lower.stem	prec4.lower.depunc	0.9830508474576273
wiki	de	bm25	prec2.lower.stem	prec4.lower.stem.depunc	0.9873505612967642
wiki	de	bm25	prec2.lower.depunc	size	0.9268325671031296
wiki	de	bm25	prec2.lower.depunc	bpe.tokens	0.09166984970282113
wiki	de	bm25	prec2.lower.depunc	map	0.728039845617479
wiki	de	bm25	prec2.lower.depunc	map.gm	0.8117225864930513
wiki	de	bm25	prec2.lower.depunc	p.5	0.728039845617479
wiki	de	bm25	prec2.lower.depunc	p.10	0.7394957983193278
wiki	de	bm25	prec2.lower.depunc	r.10	0.728039845617479
wiki	de	bm25	prec2.lower.depunc	rbo	0.728039845617479
wiki	de	bm25	prec2.lower.depunc	ndcg	0.728039845617479
wiki	de	bm25	prec2.lower.depunc	bleu.lower	0.9623515200690815
