dataset	lang	size	bpe.tokens	model	query	map	map.gm	p.5	p.10	r.10	rbo	ndcg	bleu.lower	bleu.lower.stem	bleu.lower.depunc	bleu.lower.stem.depunc	prec1.lower	prec1.lower.stem	prec1.lower.depunc	prec1.lower.stem.depunc	prec2.lower	prec2.lower.stem	prec2.lower.depunc	prec2.lower.stem.depunc	prec3.lower	prec3.lower.stem	prec3.lower.depunc	prec3.lower.stem.depunc	prec4.lower	prec4.lower.stem	prec4.lower.depunc	prec4.lower.stem.depunc
wiki	de	75000	16000	neural	all	0.1006	0.0021	0.0279	0.0196	0.196	0.113296963140762	0.1927	26.7	27.7	24.9	26	60.3	62	58.2	60.1	33.9	35.2	33	34.3	21.2	22	20	21	13.5	14.2	12.4	13.1
wiki	cs	200000	32000	neural	all	0.0817	0.0012	0.0231	0.0159	0.1588	0.111554794788852	0.1666	31.5	32.8	29.5	31	63.9	65.9	61.7	64	38.1	39.7	36.6	38.3	25	26.2	23.4	24.7	16.8	17.7	15.3	16.3
wiki	cs	125000	32000	neural.glove	all	0.0611	8e-04	0.0168	0.0123	0.1226	0.0672505510652417	0.1399	29.4	30.8	27.4	29	62.6	64.6	60.2	62.5	36.3	37.9	34.8	36.5	23.2	24.5	21.6	22.9	15.2	16.1	13.7	14.8
wiki	cs	100000	16000	neural.glove	all	0.0668	8e-04	0.0182	0.0127	0.1268	0.0695675389880673	0.146	27.4	28.7	25.4	26.8	60.4	62.3	57.8	60.2	33.9	35.4	32.4	34	21.3	22.3	19.7	20.8	13.6	14.4	12.3	13.2
wiki	de	75000	32000	neural.glove	all	0.0689	0.001	0.0182	0.0134	0.1338	0.0706443968433876	0.1523	27	28	25.3	26.4	60.6	62.2	58.6	60.5	34.3	35.4	33.3	34.6	21.5	22.3	20.3	21.2	13.7	14.3	12.6	13.3
wiki	de	100000	32000	neural.glove	all	0.0651	0.0012	0.0187	0.0139	0.139	0.0767691212930754	0.1533	28.4	29.4	26.7	27.8	61.7	63.4	59.7	61.6	35.6	36.8	34.7	36	22.7	23.5	21.5	22.4	14.8	15.4	13.6	14.3
wiki	cs	50000	16000	neural.glove	all	0.0366	5e-04	0.0094	0.0079	0.0786	0.0519070011385244	0.112	23.9	25.2	21.9	23.3	57.5	59.5	54.9	57.3	30.3	31.9	28.8	30.5	18	19.1	16.6	17.7	11	11.8	9.7	10.6
wiki	de	25000	16000	neural.glove	all	0.0418	5e-04	0.0118	0.0091	0.0908	0.0524566759863888	0.1176	20	20.8	18.2	19.1	52.3	53.6	50.3	51.9	25.8	26.8	25.1	26.2	14.4	15	13.5	14.1	8.2	8.6	7.3	7.8
wiki	cs	75000	16000	neural.glove	all	0.0471	6e-04	0.0129	0.0107	0.1074	0.060577543580364	0.1257	25.8	27.1	23.8	25.1	58.7	60.7	56.1	58.4	32	33.5	30.5	32.1	19.5	20.6	18	19.1	12.2	13	10.9	11.7
wiki	cs	125000	16000	neural.glove	all	0.0729	0.001	0.0205	0.0144	0.1438	0.0768338145183802	0.1563	28.7	30	26.7	28.1	61.9	63.9	59.4	61.7	35.5	37.1	34.1	35.7	22.7	23.8	21.2	22.3	14.8	15.7	13.4	14.3
wiki	de	175000	16000	neural.glove	all	0.0773	0.0021	0.0218	0.0161	0.1608	0.0909954659818168	0.1746	30.6	31.8	29	30.2	63.3	65.1	61.4	63.4	37.8	39.1	36.8	38.2	24.7	25.7	23.6	24.6	16.5	17.2	15.3	16.2
wiki	de	150000	32000	neural.glove	all	0.0532	0.0014	0.014	0.0116	0.1158	0.0765979294297131	0.1475	30	31.1	28.3	29.5	63	64.7	61.1	63.2	37.1	38.4	36.2	37.7	24.1	25	23	24	16	16.8	14.9	15.7
wiki	de	25000	32000	neural.glove	all	0.0303	2e-04	0.008	0.0061	0.061	0.0402477856016328	0.0833	18.5	19	16.7	17.3	51.8	52.9	48.8	50.1	24.9	25.6	23.7	24.5	13.6	14.1	12.4	12.9	7.7	7.9	6.7	7
wiki	cs	200000	16000	neural.glove	all	0.0753	0.0013	0.0209	0.0149	0.1486	0.0812852452616371	0.1634	30.7	32	28.7	30.1	63	65	60.7	63	37.2	38.8	35.7	37.4	24.2	25.4	22.6	23.9	16.1	17	14.6	15.6
wiki	cs	50000	32000	neural.glove	all	0.0437	3e-04	0.0125	0.0088	0.0876	0.0487694622730729	0.1075	23.5	24.8	21.6	22.9	57.1	59.1	54.3	56.6	29.8	31.4	28.2	29.9	17.6	18.7	16.1	17.2	10.7	11.5	9.5	10.2
wiki	cs	175000	32000	neural.glove	all	0.0582	8e-04	0.0161	0.0121	0.1212	0.0688138814607282	0.1401	31.2	32.5	29.2	30.7	63.3	65.2	61.2	63.4	37.5	39	36.1	37.7	24.5	25.6	23	24.2	16.4	17.3	15	15.9
wiki	de	200000	32000	neural.glove	all	0.0846	0.002	0.0233	0.0166	0.1664	0.0889238168288404	0.1795	32	33.1	30.4	31.7	64.6	66.3	62.6	64.6	39.3	40.6	38.3	39.7	26.1	27.1	25	26	17.7	18.5	16.6	17.4
wiki	de	150000	16000	neural.glove	all	0.0857	0.002	0.0234	0.0171	0.1708	0.0900988461075643	0.1802	29.5	30.7	27.8	29	62.4	64.2	60.4	62.5	36.6	37.9	35.6	37	23.6	24.6	22.5	23.5	15.6	16.4	14.4	15.2
wiki	cs	25000	32000	neural.glove	all	0.021	1e-04	0.0054	0.0039	0.0392	0.0334855806921594	0.0628	17.5	18.4	15.6	16.4	50	51.5	46.7	48.4	22.9	24	21.3	22.4	12.2	12.9	10.8	11.5	6.7	7.2	5.7	6.1
wiki	cs	100000	32000	neural.glove	all	0.06	6e-04	0.016	0.0116	0.1156	0.068609968809655	0.1342	28.5	29.8	26.5	27.9	61.7	63.7	59.2	61.5	35.2	36.8	33.7	35.3	22.2	23.4	20.6	21.8	14.3	15.2	12.9	13.9
wiki	de	125000	32000	neural.glove	all	0.0727	0.0015	0.0212	0.015	0.1504	0.0813813470982137	0.1644	29.8	30.9	28.1	29.2	63.1	64.8	61	63	37.2	38.4	36.1	37.4	24.2	25	22.9	23.8	16.1	16.7	14.7	15.5
wiki	de	50000	32000	neural.glove	all	0.0291	5e-04	0.007	0.0058	0.0576	0.0466464368888219	0.1055	23.9	24.7	22.1	23	57.2	58.5	55.7	57.3	30.5	31.6	30	31.1	18.3	19	17.4	18.2	11.2	11.7	10.3	10.8
wiki	de	100000	16000	neural.glove	all	0.071	0.0017	0.0201	0.0148	0.148	0.0838101920665521	0.1649	28.9	29.9	27	28.2	61.6	63.3	59.5	61.5	35.7	37	34.6	36	22.8	23.7	21.5	22.5	15	15.6	13.7	14.4
wiki	de	125000	16000	neural.glove	all	0.051	0.0015	0.0126	0.0103	0.103	0.0729179317396913	0.1471	28.8	29.8	27	28.2	61.3	63	59.5	61.5	35.5	36.8	34.6	36	22.7	23.6	21.6	22.6	14.8	15.5	13.7	14.4
wiki	cs	25000	16000	neural.glove	all	0.035	3e-04	0.01	0.0071	0.0712	0.0417219730008766	0.0962	18.7	19.8	16.7	17.9	51.5	53.4	48.5	50.7	24.3	25.6	22.8	24.2	13.3	14.1	11.9	12.8	7.4	8	6.3	6.9
wiki	de	50000	16000	neural.glove	all	0.0689	0.0011	0.0188	0.014	0.1396	0.0743316754979243	0.1551	24.8	25.9	23.1	24.2	58.7	60.4	56.4	58.3	32.1	33.3	31	32.4	19.5	20.4	18.4	19.3	12.1	12.8	11	11.7
wiki	de	175000	32000	neural.glove	all	0.0779	0.0017	0.0221	0.0155	0.1546	0.0836385698248721	0.1711	31	32.1	29.3	30.5	63.8	65.5	61.8	63.8	38.3	39.6	37.2	38.7	25.2	26.2	24	25	17	17.7	15.8	16.6
wiki	cs	150000	32000	neural.glove	all	0.0604	8e-04	0.0164	0.012	0.1202	0.0690891622354976	0.14	30.2	31.5	28.3	29.7	63.3	65.3	61	63.3	37.1	38.7	35.7	37.3	24	25.1	22.5	23.7	15.8	16.7	14.5	15.4
wiki	de	200000	16000	neural.glove	all	0.0629	0.002	0.0177	0.015	0.1496	0.08023791345728	0.1624	31.2	32.3	29.5	30.8	64	65.7	62	64	38.5	39.8	37.4	38.9	25.3	26.3	24.2	25.2	17	17.8	15.8	16.7
wiki	cs	75000	32000	neural.glove	all	0.054	5e-04	0.0151	0.0107	0.1072	0.0594212116149276	0.1254	26.5	27.8	24.5	25.9	59.7	61.7	57.1	59.5	32.8	34.4	31.3	32.9	20.2	21.4	18.7	19.9	12.8	13.7	11.5	12.3
wiki	cs	175000	16000	neural.glove	all	0.0781	0.0013	0.0209	0.0144	0.1442	0.0804524773754123	0.1642	31	32.4	29.1	30.6	63.6	65.6	61.3	63.6	37.8	39.4	36.3	38	24.8	26	23.2	24.5	16.6	17.5	15.2	16.2
wiki	cs	150000	16000	neural.glove	all	0.0585	0.001	0.0164	0.0124	0.1244	0.0719726980959732	0.1451	29.4	30.7	27.4	28.8	62.1	64	59.7	62	36	37.5	34.6	36.1	23	24.2	21.5	22.7	15	15.9	13.7	14.6
wiki	de	75000	16000	neural.glove	all	0.0676	0.0015	0.0193	0.0144	0.1444	0.0810307646824429	0.1598	26.7	27.7	24.9	26	60.3	62	58.2	60.1	33.9	35.2	33	34.3	21.2	22	20	21	13.5	14.2	12.4	13.1
wiki	cs	200000	32000	neural.glove	all	0.0639	0.001	0.0176	0.0131	0.1308	0.072761561206671	0.1473	31.5	32.8	29.5	31	63.9	65.9	61.7	64	38.1	39.7	36.6	38.3	25	26.2	23.4	24.7	16.8	17.7	15.3	16.3
